,Area,Study Year,Level,Mode,Country,Academic Year,Female,Male,Not known,Other,Total
0,"Agriculture, food and related studies",All,All,All,All,2017/18,11955.0,6715.0,,10.0,18680.0
1,"Agriculture, food and related studies",All,All,All,All,2018/19,12895.0,6410.0,,15.0,19320.0
2,"Agriculture, food and related studies",All,All,All,All,2019/20,10730.0,5995.0,,15.0,16740.0
3,"Agriculture, food and related studies",All,All,All,All,2020/21,12070.0,6325.0,0.0,30.0,18425.0
4,"Agriculture, food and related studies",All,All,All,England,2017/18,9435.0,5105.0,,10.0,14545.0
5,"Agriculture, food and related studies",All,All,All,England,2018/19,10235.0,4905.0,,10.0,15150.0
6,"Agriculture, food and related studies",All,All,All,England,2019/20,8255.0,4475.0,,10.0,12735.0
7,"Agriculture, food and related studies",All,All,All,England,2020/21,9225.0,4655.0,0.0,20.0,13895.0
8,"Agriculture, food and related studies",All,All,All,Northern Ireland,2017/18,285.0,190.0,,0.0,475.0
9,"Agriculture, food and related studies",All,All,All,Northern Ireland,2018/19,335.0,175.0,,0.0,510.0
10,"Agriculture, food and related studies",All,All,All,Northern Ireland,2019/20,260.0,120.0,,0.0,380.0
11,"Agriculture, food and related studies",All,All,All,Northern Ireland,2020/21,330.0,130.0,0.0,0.0,465.0
12,"Agriculture, food and related studies",All,All,All,Scotland,2017/18,1440.0,905.0,,0.0,2345.0
13,"Agriculture, food and related studies",All,All,All,Scotland,2018/19,1480.0,890.0,,5.0,2370.0
14,"Agriculture, food and related studies",All,All,All,Scotland,2019/20,1465.0,955.0,,5.0,2425.0
15,"Agriculture, food and related studies",All,All,All,Scotland,2020/21,1680.0,1065.0,0.0,10.0,2755.0
16,"Agriculture, food and related studies",All,All,All,Wales,2017/18,800.0,515.0,,0.0,1315.0
17,"Agriculture, food and related studies",All,All,All,Wales,2018/19,845.0,440.0,,0.0,1290.0
18,"Agriculture, food and related studies",All,All,All,Wales,2019/20,750.0,445.0,,5.0,1195.0
19,"Agriculture, food and related studies",All,All,All,Wales,2020/21,830.0,475.0,0.0,5.0,1310.0
20,"Agriculture, food and related studies",All,All,Full-time,All,2017/18,9355.0,4425.0,,5.0,13785.0
21,"Agriculture, food and related studies",All,All,Full-time,All,2018/19,10125.0,4255.0,,10.0,14390.0
22,"Agriculture, food and related studies",All,All,Full-time,All,2019/20,8420.0,4060.0,,15.0,12495.0
23,"Agriculture, food and related studies",All,All,Full-time,All,2020/21,9055.0,4395.0,0.0,20.0,13465.0
24,"Agriculture, food and related studies",All,All,Full-time,England,2017/18,7445.0,3300.0,,5.0,10750.0
25,"Agriculture, food and related studies",All,All,Full-time,England,2018/19,8085.0,3200.0,,10.0,11290.0
26,"Agriculture, food and related studies",All,All,Full-time,England,2019/20,6530.0,2920.0,,10.0,9455.0
27,"Agriculture, food and related studies",All,All,Full-time,England,2020/21,6860.0,3165.0,0.0,15.0,10035.0
28,"Agriculture, food and related studies",All,All,Full-time,Northern Ireland,2017/18,220.0,150.0,,0.0,370.0
29,"Agriculture, food and related studies",All,All,Full-time,Northern Ireland,2018/19,275.0,135.0,,0.0,410.0
30,"Agriculture, food and related studies",All,All,Full-time,Northern Ireland,2019/20,195.0,100.0,,0.0,295.0
31,"Agriculture, food and related studies",All,All,Full-time,Northern Ireland,2020/21,275.0,115.0,0.0,0.0,390.0
